L2,L2,L1,L1,L1
L5,H4,B1,L4,L5
L2,B4,L5,L5,L4
_,L4,H4,L2,L1
_,W,_,W,L4
L3,_,L4,L1,H1
L4,B3,H4,L3,L2
_,L1,H3,L2,L1
L1,L1,L2,H4,L4
L3,L1,L1,_,B1
L4,L2,_,H4,L4
L3,L3,L2,H1,L2
_,L1,_,L2,_
B1,H4,_,L5,L2
H3,_,L5,_,L4
L3,L3,L2,H1,_
B2,L1,L3,_,_
W,L3,_,L3,H3
L3,_,_,L4,L2
H4,L4,H4,L2,L3
L3,L3,B2,L1,L5
L5,L3,H4,H3,L5
_,L4,H4,L4,_
_,_,H2,_,_
L1,W,B2,L5,L5
L4,L3,_,H4,H4
L5,L4,L3,L4,L5
W,_,H3,H1,_
L3,L5,H3,L3,L4
L5,L1,L5,H3,L3
L2,_,L3,L3,L4
B3,L1,L5,L2,W
L5,L5,H3,L4,H2
_,L2,L4,H4,H1
H4,H2,W,_,L3
L1,L2,B1,L5,L2
L3,L2,L1,L2,B2
L1,L4,H2,H4,L2
L1,L2,L4,L5,L2
H2,L5,L2,B1,H3
B1,H1,L5,L1,W
H2,_,L3,L4,L3
L1,H4,H3,L3,_
L5,H3,L3,L1,H3
L1,W,_,_,L1
L2,H1,H2,W,W
W,L3,H4,L3,H4
H3,L3,L3,L2,W
L3,B3,L5,L5,L2
L1,L1,L3,L4,H4
L2,_,L4,_,B1
L1,L2,L2,H2,L1
H1,L1,_,L2,_
B3,L2,_,L5,L5
H4,L1,L1,W,L5
H4,L5,L2,L2,L1
L5,L4,L4,L3,B1
L2,L2,L3,L2,B2
L4,H3,L5,L1,L2
L5,H1,L3,L4,H4
H2,H2,L2,W,L3
_,_,B4,L1,L5
_,L3,L1,_,H2
_,L5,L3,H4,H1
L3,H3,_,B1,L2
W,L4,B1,L2,_
L3,L2,L4,W,L2
L1,L1,L1,H3,B4
L2,L2,H2,L1,H2
H1,_,B2,L3,L3
_,_,L2,_,L3
L4,L5,L2,L2,L3
L1,L5,L2,L1,L1
H1,H4,W,L1,L3
L5,_,L3,_,L1
L4,L3,L2,H2,L1
H2,L3,L2,_,L3
H4,L2,L1,L2,L2
L2,_,H1,B1,_
_,L2,L1,L3,H3
L2,_,H4,L2,_
L4,L5,W,H3,L4
L3,L1,L3,L4,L1
H4,_,L4,H2,L2
L1,L4,L5,B3,L3
B1,H3,W,H1,H4
L4,B1,_,_,L2
L3,L5,L4,L5,L1
_,W,L4,L2,B1
L5,H4,L5,L1,L1
L2,L4,L2,B4,L5
H1,L3,H1,L4,L5
_,L1,H1,L5,H4
L5,L2,H1,B2,H2
B2,L3,L4,L1,L3
B2,B1,L5,L5,L4
L3,L5,L1,B2,L5
L3,B2,L2,L1,H3
L1,_,L1,_,_
L4,L4,L3,L3,L1
L4,L4,L5,L3,B3
L5,W,W,_,L4
H4,L5,L2,L4,H3
L1,H1,_,L1,H1
H3,L3,H3,L5,L3
L5,H2,H2,H4,L3
W,L5,_,_,W
_,H4,L1,L4,L4
B4,L2,L5,H2,_
B1,_,L4,L3,L2
L2,L2,L1,L5,H2
L1,H3,B1,H3,L4
_,L4,L1,_,L2
L4,B1,_,_,H4
L5,H2,B3,L2,L1
L3,L3,_,B2,L4
L4,L4,L1,L1,L5
L4,L1,L2,H3,_
L1,L5,L3,L3,L4
L2,B1,L4,L3,B2
H3,L4,L4,L4,_
_,B2,L4,L3,L1
H3,L1,L3,L4,B3
L4,L3,L5,L1,L3
L2,H2,L1,L5,L5
L2,L5,B3,B1,_
L2,L1,L1,H2,L5
L2,H4,_,B3,L3
H2,B2,L3,L3,L1
H3,H3,L5,L5,_
